time	plasma_radioactivity	whole_blood_radioactivity	whole_blood_11CO2	plasma_leucine
0.0	0.0	0.0	0.0	123.27
15.0	0.0	0.00185	n/a	n/a
24.0	0.00518	0.00148	n/a	n/a
33.0	0.0	0.00037	n/a	n/a
43.0	0.0	0.00148	n/a	n/a
53.0	12.17189	1.1248	n/a	n/a
62.0	39.0128	19.77354	n/a	n/a
73.0	52.1034	36.5005	n/a	n/a
82.0	76.7935	50.9675	n/a	n/a
92.0	92.4408	67.8765	n/a	n/a
103.0	106.0716	78.4696	n/a	n/a
111.0	118.474	89.2292	n/a	n/a
121.0	123.9685	100.4365	0.2738	n/a
131.0	130.9541	101.4244	n/a	n/a
141.0	140.6037	107.3629	n/a	n/a
151.5	135.5976	110.7558	n/a	n/a
161.0	129.0819	104.9912	n/a	n/a
170.0	119.954	99.9296	n/a	n/a
180.0	107.9142	91.6934	n/a	123.27
190.0	100.5623	83.0724	n/a	n/a
200.0	91.1199	75.9647	n/a	n/a
210.0	83.8901	70.8994	n/a	n/a
220.0	76.3162	64.5354	n/a	n/a
230.0	70.6182	58.8966	n/a	n/a
241.0	66.8183	53.3688	0.7733	n/a
302.0	48.9103	41.2994	n/a	122.3
366.0	41.292	34.64976	0.9916	n/a
479.0	31.91287	26.69328	1.1174	n/a
601.0	24.56911	20.97715	1.0989	124.97
719.0	20.84617	17.82586	1.2654	n/a
900.0	16.94563	14.08442	1.2099	135.0
1202.0	13.17977	11.47185	1.1951	125.64
1502.0	10.77329	9.64257	1.295	n/a
1802.0	9.22151	8.8763	1.2432	127.38
2099.0	7.82513	8.31316	1.295	n/a
2401.0	7.20575	8.12483	1.2099	126.95
3001.0	5.77607	7.7367	1.2765	125.29
3602.0	5.04421	8.07229	0.9805	124.47
4204.0	4.04817	8.07229	1.1433	123.5
4801.5	3.72701	8.45376	1.0545	126.15
5396.5	3.18163	8.91478	0.9768	121.08
