time	plasma_radioactivity	whole_blood_radioactivity	whole_blood_11CO2	plasma_leucine
0.0	0.0	0.0	0.0	147.02
16.0	0.0	0.00111	n/a	n/a
25.0	0.0	0.0037	n/a	n/a
35.0	0.15429	0.00962	n/a	n/a
44.5	13.09319	5.16039	n/a	n/a
54.0	41.4659	27.61236	n/a	n/a
63.5	67.599	43.6415	n/a	n/a
73.0	89.0109	64.0433	n/a	n/a
83.0	102.5011	76.664	n/a	n/a
93.0	111.9694	86.6614	n/a	n/a
103.0	124.616	96.5589	n/a	n/a
113.0	132.8485	102.5899	n/a	n/a
123.5	146.9196	118.992	0.24938	n/a
134.0	152.6768	119.6025	n/a	n/a
143.0	161.2608	124.3533	n/a	n/a
152.0	156.9614	124.542	n/a	n/a
162.0	129.2595	107.7662	n/a	n/a
172.0	108.4618	89.7731	n/a	n/a
182.0	95.275	77.552	n/a	147.02
191.5	86.9056	70.3962	n/a	n/a
202.0	80.7229	64.5354	n/a	n/a
212.0	76.8083	63.8657	n/a	n/a
223.0	70.8809	57.9272	n/a	n/a
232.0	68.0578	54.7785	n/a	n/a
242.5	66.0524	54.4788	0.93536	n/a
299.0	53.909	42.8386	n/a	144.04
358.5	46.176	41.0774	1.12406	n/a
483.5	36.76061	29.4705	1.39416	n/a
598.0	29.32546	24.34489	1.59692	148.84
719.0	24.31825	20.87503	1.62467	n/a
900.5	19.61074	18.27393	1.57953	134.58
1199.5	14.95466	12.98626	1.71347	136.46
1503.0	11.95507	11.93916	1.39786	n/a
1810.0	10.19646	9.24445	0.6882	137.31
2101.0	8.71609	8.54478	1.2395	n/a
2400.0	7.43071	10.2194	1.13775	133.83
3002.5	6.3936	7.72005	1.3801	136.15
3593.5	5.25622	7.65493	1.09372	133.37
4203.5	4.21171	7.65493	1.24505	126.41
4803.5	3.97565	7.88877	0.9139	135.65
5398.5	2.93928	8.48743	0.82251	133.19
